Project,Bug ID,tarantula_rank,tarantula_exam,tarantula_top_1,tarantula_top_3,tarantula_top_5,ochiai_rank,ochiai_exam,ochiai_top_1,ochiai_top_3,ochiai_top_5,dstar_rank,dstar_exam,dstar_top_1,dstar_top_3,dstar_top_5,tarantula_gc_rank,tarantula_gc_exam,tarantula_gc_top_1,tarantula_gc_top_3,tarantula_gc_top_5,ochiai_gc_rank,ochiai_gc_exam,ochiai_gc_top_1,ochiai_gc_top_3,ochiai_gc_top_5,dstar_gc_rank,dstar_gc_exam,dstar_gc_top_1,dstar_gc_top_3,dstar_gc_top_5,tarantula_rank_imp_pct,tarantula_exam_imp_pct,ochiai_rank_imp_pct,ochiai_exam_imp_pct,dstar_rank_imp_pct,dstar_exam_imp_pct
Collections,9,1,0.0278,True,True,True,1,0.0278,True,True,True,1,0.0278,True,True,True,1,0.0278,True,True,True,1,0.0278,True,True,True,1,0.0278,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
Lang,49,1,0.0357,True,True,True,1,0.0357,True,True,True,1,0.0357,True,True,True,1,0.0357,True,True,True,1,0.0357,True,True,True,1,0.0357,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
Lang,59,1,0.02,True,True,True,1,0.02,True,True,True,1,0.02,True,True,True,1,0.02,True,True,True,1,0.02,True,True,True,1,0.02,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
Gson,5,5,0.2381,False,False,True,5,0.2381,False,False,True,5,0.2381,False,False,True,4,0.1905,False,False,True,6,0.2857,False,False,False,1,0.0476,True,True,True,20.0,19.99,-20.0,-19.99,80.0,80.01
Chart,20,1,0.0208,True,True,True,1,0.0208,True,True,True,1,0.0208,True,True,True,1,0.0208,True,True,True,1,0.0208,True,True,True,1,0.0208,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
Math,57,7,0.1429,False,False,False,7,0.1429,False,False,False,7,0.1429,False,False,False,26,0.619,False,False,False,25,0.5952,False,False,False,18,0.4286,False,False,False,-271.43,-333.17,-257.14,-316.52,-157.14,-199.93
JacksonDatabind,11,13,0.0211,False,False,False,87,0.1415,False,False,False,86,0.1398,False,False,False,149,0.2423,False,False,False,353,0.574,False,False,False,340,0.5528,False,False,False,-1046.15,-1048.34,-305.75,-305.65,-295.35,-295.42
Chart,8,4,0.5263,False,False,True,4,0.5263,False,False,True,4,0.5263,False,False,True,5,0.5263,False,False,True,5,0.5263,False,False,True,5,0.5263,False,False,True,-25.0,0.0,-25.0,0.0,-25.0,0.0
JacksonDatabind,27,6,0.0056,False,False,False,577,0.5438,False,False,False,944,0.879,False,False,False,66,0.0615,False,False,False,856,0.797,False,False,False,932,0.8678,False,False,False,-1000.0,-998.21,-48.35,-46.56,1.27,1.27
Math,61,4,0.0455,False,False,True,4,0.0455,False,False,True,4,0.0455,False,False,True,3,0.039,False,True,True,15,0.1948,False,False,False,14,0.1818,False,False,False,25.0,14.29,-275.0,-328.13,-250.0,-299.56
Time,27,309,0.8042,False,False,False,310,0.8068,False,False,False,310,0.8068,False,False,False,319,0.8329,False,False,False,325,0.8486,False,False,False,326,0.8512,False,False,False,-3.24,-3.57,-4.84,-5.18,-5.16,-5.5
Math,71,36,0.375,False,False,False,49,0.5104,False,False,False,49,0.5104,False,False,False,1,0.0104,True,True,True,57,0.5938,False,False,False,57,0.5938,False,False,False,97.22,97.23,-16.33,-16.34,-16.33,-16.34
Jsoup,18,35,0.061,False,False,False,32,0.0556,False,False,False,26,0.0446,False,False,False,21,0.0383,False,False,False,15,0.0273,False,False,False,27,0.0492,False,False,False,40.0,37.21,53.12,50.9,-3.85,-10.31
JacksonXml,4,1,0.0128,True,True,True,72,0.9231,False,False,False,74,0.9487,False,False,False,1,0.0128,True,True,True,67,0.859,False,False,False,74,0.9487,False,False,False,0.0,0.0,6.94,6.94,0.0,0.0
Compress,36,12,0.0615,False,False,False,12,0.0615,False,False,False,12,0.0615,False,False,False,38,0.1949,False,False,False,45,0.2308,False,False,False,44,0.2256,False,False,False,-216.67,-216.91,-275.0,-275.28,-266.67,-266.83
Jsoup,37,3,0.0062,False,True,True,3,0.0062,False,True,True,3,0.0062,False,True,True,14,0.025,False,False,False,13,0.0241,False,False,False,9,0.016,False,False,False,-366.67,-303.23,-333.33,-288.71,-200.0,-158.06
