,project,bug_id,lambda_val,tarantula,ochiai,dstar,GraphCut_Score,GraphCut_Rank,tarantula_rank,ochiai_rank,dstar_rank,rank_gain_tarantula,In_Degree,Out_Degree,In_Degree_Centrality,Out_Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,PageRank,Clustering_Coefficient,Num_Nodes,Num_Edges,Density,Is_DAG,Reciprocity,Num_SCC,Num_WCC,Degree_Assortativity,Largest_SCC_Avg_Path_Length,Largest_SCC_Diameter
66,Compress,15,0.1,0.9912790697674418,0.5,0.3333333333333333,4.772741019590596,1.0,1.0,1.0,1.0,0.0,0,1,0.0,0.01282051282051282,0.0,0.0,0.007594669314195548,0.0,79,95,0.015417072379097696,True,0.0,79,11,-0.0642309231592729,0.0,0
67,Compress,16,0.1,0.9098143236074271,0.1690308509457033,0.029411764705882353,2.6613699225497784,13.0,35.0,35.0,35.0,22.0,0,9,0.0,0.18367346938775508,0.0,0.0,0.011952923943662753,0.013888888888888888,50,48,0.019591836734693877,True,0.0,50,5,-0.10152415064552864,0.0,0
68,Compress,17,0.1,0.9124668435013263,0.17149858514250882,0.030303030303030304,2.481511248071473,15.0,17.5,17.5,17.5,2.5,2,1,0.04,0.02,0.002857142857142857,0.04454545454545455,0.027608596883806746,0.16666666666666666,51,50,0.0196078431372549,False,0.0,49,6,-0.023440361546925154,1.5,2
69,Compress,18,0.1,0.9749303621169916,0.31622776601683794,0.1111111111111111,3.846301004351588,4.0,4.5,4.5,4.5,0.5,1,6,0.009174311926605505,0.05504587155963303,8.494733265375468e-05,0.009174311926605505,0.004961976447677929,0.2,110,144,0.01201000834028357,False,0.027777777777777776,107,5,0.07231518721805505,1.3333333333333333,2
70,Compress,19,0.1,0.9896640826873384,0.4082482904638631,0.3333333333333333,4.572088783359405,2.0,1.5,1.5,1.5,-0.5,1,0,0.004784688995215311,0.0,0.0,0.008202323991797676,0.002853323870413249,0.0,210,336,0.007655502392344498,True,0.0,210,9,-0.06380835308768565,0.0,0
71,Compress,20,0.1,0.8840909090909091,0.13608276348795434,0.05263157894736842,2.714158257095119,1.0,7.0,7.0,7.0,6.0,1,18,0.024390243902439025,0.43902439024390244,0.023170731707317073,0.03252032520325203,0.016885462677034002,0.0,42,55,0.03193960511033682,True,0.0,42,2,-0.5595377322551736,0.0,0
72,Compress,21,0.1,0.994400895856663,0.8,16.0,5.3606260784497115,2.0,3.0,3.0,3.0,1.0,7,0,0.056,0.0,0.0,0.04609523809523809,0.005896515541347583,0.0,126,170,0.010793650793650795,True,0.0,126,5,-0.09343827344768182,0.0,0
73,Compress,22,0.1,0.9807692307692308,0.31622776601683794,0.1111111111111111,4.006661077197053,53.0,56.5,56.5,56.5,3.5,0,5,0.0,0.07142857142857142,0.0,0.0,0.007837597733438234,0.0,71,87,0.01750503018108652,True,0.0,71,1,-0.2315645783163766,0.0,0
74,Compress,23,0.1,0.9913793103448276,0.4472135954999579,0.25,4.77643390363573,2.0,1.5,1.5,1.5,-0.5,1,2,0.014285714285714285,0.02857142857142857,0.0033126293995859213,0.03809523809523809,0.009923386023143401,0.0,71,94,0.018913480885311872,True,0.0,71,3,-0.2508160766137372,0.0,0
75,Compress,24,0.1,0.9092702169625246,0.14586499149789456,0.021739130434782608,2.3047566465075526,2.0,2.0,2.0,2.0,0.0,1,1,0.041666666666666664,0.041666666666666664,0.0018115942028985507,0.041666666666666664,0.035376341499786995,0.0,25,18,0.03,True,0.0,25,7,-0.5477225575051662,0.0,0
